|name
0|쌀밥
1|오곡밥
2|콩밥
3|보리밥
4|영양돌솥밥
5|감자밥
6|곤드레밥
7|김치볶음밥
8|멸치주먹밥
9|볶음밥
10|비빔밥
11|전주비빔밥
12|삼선볶음밥
13|새우볶음밥
14|알밥
15|약초비빔밥
16|오므라이스
17|육회비빔밥
18|해물볶음밥
19|열무비빔밥
20|류산슬덮밥
21|불고기덮밥
22|소고기국밥
23|송이덮밥
24|오징어덮밥
25|자장밥
26|잡채밥
27|잡탕밥
28|장어덮밥
29|제육덮밥
30|짬뽕밥
31|참치덮밥
32|카레라이스
33|전주콩나물국밥
34|해물덮밥
35|회덮밥
36|안성국밥
37|돼지국밥
38|김치김밥
39|농어초밥
40|문어
41|초밥
42|새우초밥
43|새우튀김롤
44|샐러드김밥
45|광어초밥
46|소고기
47|김밥
48|갈비삼각김밥
49|연어롤
50|연어초밥
51|유부초밥
52|장어초밥
53|참치김밥
54|참치마요삼각김밥
55|충무김밥
56|치즈김밥
57|캘리포니아롤
58|한치초밥
59|간자장
60|굴짬뽕
61|기스면
62|김치라면
63|김치우동
64|김치말이국수
65|닭칼국수
66|들깨칼국수
67|떡라면
68|라면
69|막국수
70|메밀국수
71|물냉면
72|비빔국수
73|비빔냉면
74|삼선우동
75|삼선자장면
76|삼선짬뽕
77|수제비
78|쌀국수
79|열무김치국수
80|열무냉면
81|오일소스스파게티
82|일식우동
83|중식우동
84|울면
85|자장면
86|잔치국수
87|짬뽕
88|짬뽕라면
89|쫄면
90|치즈라면
91|콩국수
92|크림소스스파게티
93|토마토소스스파게티
94|해물칼국수
95|회냉면
96|떡국
97|떡만둣국
98|고기만두
99|군만두
100|김치만두
101|물만두
102|만둣국
103|게살죽
104|깨죽
105|닭죽
106|소고기버섯죽
107|어죽
108|잣국
109|전복죽
110|참치죽
111|채소죽
112|팥죽
113|호박죽
114|콘스프
115|토마토스프
116|굴국
117|김치국
118|달걀국
119|감자국
120|미역국
121|바지락조개국
122|소고기무국
123|소고기미역국
124|소머리국밥
125|순대국
126|어묵국
127|오징어국
128|토란국
129|탕국
130|홍합미역국
131|황태해장국
132|근대된장국
133|미소된장국
134|배추된장국
135|뼈다귀해장국
136|선지해장국
137|선짓국
138|시금치된장국
139|시래기된장국
140|쑥된장국
141|아욱된장국
142|우거지된장국
143|우거지해장국
144|우렁된장국
145|갈낙탕
146|갈비탕
147|감자탕
148|곰탕
149|매운탕
150|꼬리곰탕
151|꽃제탕
152|낙지탕
153|내장탕
154|닭곰탕
155|닭볶음탕
156|지리탕
157|도가니탕
158|삼계탕
159|설렁탕
160|아구탕
161|알탕
162|연포탕
163|오리탕
164|추어탕
165|해물탕
166|닭개장
167|육개장
168|미역오이냉국
169|고등어찌개
170|꽁치찌개
171|동태찌개
172|부대찌개
173|된장찌개
174|청국장찌개
175|두부전골
176|곱창전골
177|소고기전골
178|국수전골
179|김치찌개
180|버섯찌개
181|새우젓두부찌개
182|순두부찌개
183|콩비지찌개
184|햄김치찌개
185|호박찌개
186|대구찜
187|도미찜
188|동태찜
189|문어숙회
190|민어찜
191|병어찜
192|북어찜
193|아귀찜
194|전어찜
195|조기찜
196|참꼬막
197|해물찜
198|홍어찜
199|닭갈비
200|닭꼬치
201|돼지갈비
202|떡갈비
203|불고기
204|소곱창구이
205|소양념갈비구이
206|소불고기
207|양념왕갈비
208|햄버거스테이크
209|훈제오리
210|치킨데리야끼
211|치킨윙
212|더덕구이
213|양배추구이
214|두부구이
215|가자미전
216|굴전
217|동태전
218|해물파전
219|동그랑땡
220|햄부침
221|육전
222|감자전
223|고추전
224|김치전
225|깻잎전
226|녹두빈대떡
227|미나리전
228|배추전
229|버섯전
230|부추전
231|야채전
232|파전
233|호박부침개
234|호박전
235|달걀말이
236|두부부침
237|두부전
238|건새우볶음
239|낙지볶음
240|멸치볶음
241|어묵볶음
242|오징어볶음
243|오징어채볶음
244|주꾸미볶음
245|해물볶음
246|감자볶음
247|김치볶음
248|깻잎나물볶음
249|느타리버섯볶음
250|두부김치
251|머위나물볶음
252|양송이버섯볶음
253|표고버섯볶음
254|고추잡채
255|호박볶음
256|돼지고기볶음
257|돼지껍데기볶음
258|소세지볶음
259|순대볶음
260|오리불고기
261|오삼불고기
262|떡볶이
263|라볶이
264|마파두부
265|가자미조림
266|갈치조림
267|고등어조림
268|꽁치조림
269|동태조림
270|북어조림
271|조기조림
272|코다리조림
273|달걀장조림
274|메추리알장조림
275|돼지고기메추리알장조림
276|소고기메추리알장조림
277|고추조림
278|연근조림
279|우엉조림
280|알감자조림
281|두부간장조림
282|콩조림
283|두부고추장조림
284|땅콩조림
285|미꾸라지튀김
286|새우튀김
287|생선가스
288|쥐포튀김
289|오징어튀김
290|닭강정
291|닭튀김
292|돈가스
293|모래집튀김
294|양념치킨
295|치즈돈가스
296|치킨가스
297|탕수육
298|깐풍기
299|감자튀김
300|고구마맛탕
301|고구마튀김
302|고추튀김
303|김말이튀김
304|채소튀김
305|노각무침
306|단무지무침
307|달래나물무침
308|더덕무침
309|도라시생채
310|도토리묵
311|마늘쫑무침
312|무생채
313|부추무침
314|오이생채
315|파무침
316|상추겉절이
317|쑥갓나물무침
318|청포묵무침
319|해파리냉채
320|가지나물
321|고사리나물
322|도라지나물
323|무나물
324|미나리나물
325|숙주나물
326|시금치나물
327|취나물
328|콩나물
329|고구마줄기나물
330|우거지나물무침
331|골뱅이무침
332|김무침
333|미역초무침
334|북어채무침
335|회무침
336|쥐치채
337|파래무침
338|홍어무침
339|잡채
340|탕평채
341|갓김치
342|고들빼기
343|깍두기
344|깻잎김치
345|나박김치
346|동치미
347|배추겉절이
348|배추김치
349|백김치
350|부추김치
351|열무김치
352|열무얼갈이김치
353|오이소박이
354|총각김치
355|파김치
356|간장게장
357|마늘쫑장아찌
358|고추장아찌
359|깻잎장아찌
360|마늘장아찌
361|무장아찌
362|양념게장
363|양파장아찌
364|오이지
365|무피클
366|오이피클
367|단무지
368|오징어젓갈
369|명란젓
370|물회
371|생선물회
372|오징어물회
373|광어회
374|훈제연어
375|육회
376|육사시미
377|가래떡
378|경단
379|꿀떡
380|시루떡
381|메밀전병
382|찰떡
383|무지개떡
384|백설기
385|송편
386|수수부꾸미
387|수수팥떡
388|쑥떡
389|약식
390|인절미
391|절편
392|증편
393|찹쌀떡
394|매작과
395|다식
396|약과
397|유과
398|산자
399|깨강정
